theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
battery,电池,881281.WI,159767.SZ,电池龙头ETF兴银,国证新能源车电池指数收益率,keyword:电池,20210823
battery,电池,881281.WI,159840.SZ,锂电池ETF工银,国证新能源车电池指数收益率,keyword:电池,20210820
battery,电池,881281.WI,561910.SH,电池ETF招商,中证电池主题指数收益率,keyword:电池,20210812
battery,电池,881281.WI,159757.SZ,电池ETF景顺,国证新能源车电池指数收益率,keyword:电池,20210809
battery,电池,881281.WI,562880.SH,电池ETF嘉实,中证电池主题指数收益率,keyword:电池,20210720
battery,电池,881281.WI,159755.SZ,电池ETF广发,国证新能源车电池指数收益率,keyword:电池,20210624
pharma,创新药,931152.CSI,159297.SZ,港股通创新药ETF南方,国证港股通创新药指数(经估值汇率调整后)收益率,keyword:创新药,20250922
pharma,创新药,931152.CSI,589120.SH,科创创新药ETF汇添富,上证科创板创新药指数收益率,keyword:创新药,20250919
pharma,创新药,931152.CSI,159286.SZ,港股通创新药ETF鹏华,国证港股通创新药指数收益率(经汇率调整后),keyword:创新药,20250902
pharma,创新药,931152.CSI,520970.SH,港股通创新药ETF嘉实,中证港股通创新药指数收益率(经估值汇率调整后),keyword:创新药,20250807
pharma,创新药,931152.CSI,520690.SH,港股创新药ETF博时,恒生港股通创新药精选指数收益率(经估值汇率调整后),keyword:创新药,20250801
pharma,创新药,931152.CSI,589720.SH,科创创新药ETF国泰,上证科创板创新药指数收益率,keyword:创新药,20250801
pharma,创新药,931152.CSI,520880.SH,港股通创新药ETF华宝,经人民币汇率调整的恒生港股通创新药精选指数收益率,keyword:创新药,20250707
pharma,创新药,931152.CSI,159217.SZ,港股通创新药ETF工银,经汇率调整后的国证港股通创新药指数收益率,keyword:创新药,20250403
pharma,创新药,931152.CSI,159316.SZ,港股通创新药ETF易方达,恒生港股通创新药指数收益率(使用估值汇率折算),keyword:创新药,20250326
pharma,创新药,931152.CSI,520500.SH,恒生创新药ETF华泰柏瑞,恒生创新药指数收益率(使用估值汇率折算),keyword:创新药,20241227
pharma,创新药,931152.CSI,513780.SH,港股创新药ETF景顺,中证港股通创新药指数收益率(使用估值汇率调整),keyword:创新药,20241025
pharma,创新药,931152.CSI,520700.SH,港股通创新药ETF万家,中证港股通创新药指数收益率(经估值汇率调整),keyword:创新药,20241014
pharma,创新药,931152.CSI,159567.SZ,港股创新药ETF银华,国证港股通创新药指数收益率(经估值汇率调整),keyword:创新药,20240111
pharma,创新药,931152.CSI,159570.SZ,港股通创新药ETF汇添富,国证港股通创新药指数收益率(经估值汇率调整后),keyword:创新药,20240122
pharma,创新药,931152.CSI,159506.SZ,港股通创新药医疗ETF富国,恒生港股通创新药及医疗保健指数收益率(使用估值汇率折算),keyword:创新药,20230703
pharma,创新药,931152.CSI,159622.SZ,创新药ETF东财,中证沪港深创新药产业指数收益率,keyword:创新药,20230509
pharma,创新药,931152.CSI,513120.SH,港股创新药ETF广发,中证香港创新药指数收益率(人民币计价),keyword:创新药,20220712
pharma,创新药,931152.CSI,560900.SH,创新药ETF摩根,中证创新药产业指数收益率,keyword:创新药,20220602
pharma,创新药,931152.CSI,159748.SZ,创新药ETF富国,中证沪港深创新药产业指数收益率,keyword:创新药,20211203
pharma,创新药,931152.CSI,517110.SH,创新药ETF国泰,中证沪港深创新药产业指数收益率,keyword:创新药,20210930
pharma,创新药,931152.CSI,517380.SH,创新药ETF天弘,恒生沪深港创新药精选50指数收益率,keyword:创新药,20210809
pharma,创新药,931152.CSI,517120.SH,创新药ETF华泰柏瑞,中证沪港深创新药产业指数收益率,keyword:创新药,20210719
pharma,创新药,931152.CSI,159858.SZ,创新药ETF南方,中证创新药产业指数收益率,keyword:创新药,20210325
pharma,创新药,931152.CSI,159835.SZ,创新药ETF建信,中证创新药产业指数收益率,keyword:创新药,20210329
pharma,创新药,931152.CSI,516060.SH,创新药ETF工银,中证创新药产业指数收益率,keyword:创新药,20210301
pharma,创新药,931152.CSI,516080.SH,创新药ETF易方达,中证创新药产业指数收益率,keyword:创新药,20210223
pharma,创新药,931152.CSI,515120.SH,创新药ETF广发,中证创新药产业指数,keyword:创新药,20210104
pharma,创新药,931152.CSI,159992.SZ,创新药ETF银华,中证创新药产业指数,keyword:创新药,20200410
medtech,医疗器械,931464.CSI,562600.SH,医疗器械ETF华夏,中证全指医疗器械指数收益率,keyword:医疗器械,20231211
medtech,医疗器械,931464.CSI,159797.SZ,医疗器械ETF汇添富,中证全指医疗器械指数收益率,keyword:医疗器械,20220516
medtech,医疗器械,931464.CSI,516820.SH,医疗创新ETF平安,中证医药及医疗器械创新指数收益率,keyword:医疗器械,20210701
medtech,医疗器械,931464.CSI,159898.SZ,医疗器械ETF招商,中证全指医疗器械指数收益率,keyword:医疗器械,20210604
medtech,医疗器械,931464.CSI,159883.SZ,医疗器械ETF永赢,中证全指医疗器械指数收益率,keyword:医疗器械,20210430
healthcare,医药,000933.SH,526010.SH,港股通医疗ETF汇添富,中证港股通医疗主题指数(港元)收益率,keyword:医疗,20260417
